rho E momentum
6.24037688e-01 3.31510416e-01 1.38178043e+00
6.18165289e-01 3.34662690e-01 1.36734878e+00
6.12331288e-01 3.37723378e-01 1.35309982e+00
6.06535826e-01 3.40693278e-01 1.33903186e+00
6.00779029e-01 3.43573203e-01 1.32514317e+00
5.95061010e-01 3.46363980e-01 1.31143200e+00
5.89381869e-01 3.49066454e-01 1.29789657e+00
5.83741700e-01 3.51681477e-01 1.28453511e+00
5.78140587e-01 3.54209914e-01 1.27134582e+00
5.72578611e-01 3.56652640e-01 1.25832691e+00
5.67055848e-01 3.59010534e-01 1.24547658e+00
5.61572378e-01 3.61284486e-01 1.23279307e+00
5.56128280e-01 3.63475389e-01 1.22027460e+00
5.50723642e-01 3.65584141e-01 1.20791943e+00
5.45358560e-01 3.67611644e-01 1.19572587e+00
5.40033146e-01 3.69558801e-01 1.18369226e+00
5.34747529e-01 3.71426518e-01 1.17181698e+00
5.29501869e-01 3.73215701e-01 1.16009850e+00
5.24296355e-01 3.74927255e-01 1.14853536e+00
5.19131223e-01 3.76562085e-01 1.13712620e+00
5.14006766e-01 3.78121093e-01 1.12586982e+00
5.08923348e-01 3.79605175e-01 1.11476515e+00
5.03881429e-01 3.81015224e-01 1.10381133e+00
4.98881594e-01 3.82352127e-01 1.09300779e+00
4.93924585e-01 3.83616759e-01 1.08235426e+00
4.89011360e-01 3.84809986e-01 1.07185095e+00
4.84143164e-01 3.85932656e-01 1.06149861e+00
4.79321630e-01 3.86985601e-01 1.05129884e+00
4.74548926e-01 3.87969623e-01 1.04125426e+00
4.69827974e-01 3.88885492e-01 1.03136904e+00
4.65162775e-01 3.89733928e-01 1.02164947e+00
4.60558904e-01 3.90515586e-01 1.01210501e+00
4.56024292e-01 3.91231024e-01 1.00274976e+00
4.51570477e-01 3.91880663e-01 9.93604966e-01
4.47214656e-01 3.92464724e-01 9.84703048e-01
4.42983097e-01 3.92983122e-01 9.76094322e-01
4.38916847e-01 3.93435322e-01 9.67858216e-01
4.35081057e-01 3.93820128e-01 9.60121578e-01
4.31578873e-01 3.94135448e-01 9.53085896e-01
4.28566562e-01 3.94378255e-01 9.47056821e-01
4.26250506e-01 3.94545486e-01 9.42437734e-01
4.24816637e-01 3.94637505e-01 9.39589984e-01
4.24262490e-01 3.94664889e-01 9.38501125e-01
4.24289786e-01 3.94652042e-01 9.38573116e-01
4.24500361e-01 3.94626342e-01 9.39011354e-01
4.24680847e-01 3.94602278e-01 9.39390137e-01
4.24800758e-01 3.94582013e-01 9.39648572e-01
4.24878055e-01 3.94564348e-01 9.39822486e-01
4.24930644e-01 3.94548045e-01 9.39947631e-01
4.24972134e-01 3.94532147e-01 9.40051197e-01
4.25012391e-01 3.94515948e-01 9.40152909e-01
4.25055829e-01 3.94499118e-01 9.40261614e-01
4.25100059e-01 3.94481805e-01 9.40372572e-01
4.25138020e-01 3.94464491e-01 9.40471705e-01
4.25163218e-01 3.94447618e-01 9.40546070e-01
4.25173912e-01 3.94431294e-01 9.40592215e-01
4.25172817e-01 3.94415303e-01 9.40615601e-01
4.25163689e-01 3.94399356e-01 9.40623767e-01
4.25148765e-01 3.94383265e-01 9.40621227e-01
4.25128871e-01 3.94366944e-01 9.40609678e-01
4.25105000e-01 3.94350289e-01 9.40591152e-01
4.25079681e-01 3.94333088e-01 9.40570756e-01
4.25057153e-01 3.94315001e-01 9.40557020e-01
4.25041843e-01 3.94295674e-01 9.40558856e-01
4.25035642e-01 3.94274929e-01 9.40580114e-01
4.25035912e-01 3.94252907e-01 9.40615595e-01
4.25036339e-01 3.94230011e-01 9.40652756e-01
4.25030499e-01 3.94206649e-01 9.40678835e-01
4.25015234e-01 3.94182992e-01 9.40687601e-01
4.24991085e-01 3.94158939e-01 9.40680236e-01
4.24960141e-01 3.94134271e-01 9.40661022e-01
4.24923904e-01 3.94108804e-01 9.40633080e-01
4.24882933e-01 3.94082413e-01 9.40597661e-01
4.24837986e-01 3.94054950e-01 9.40556427e-01
4.24791364e-01 3.94026143e-01 9.40514144e-01
4.24747233e-01 3.93995576e-01 9.40479334e-01
4.24710180e-01 3.93962786e-01 9.40461378e-01
4.24682407e-01 3.93927465e-01 9.40464926e-01
4.24661537e-01 3.93889616e-01 9.40485487e-01
4.24641193e-01 3.93849508e-01 9.40510600e-01
4.24614390e-01 3.93807431e-01 9.40526622e-01
4.24577033e-01 3.93763436e-01 9.40525741e-01
4.24528760e-01 3.93717267e-01 9.40507672e-01
4.24471131e-01 3.93668475e-01 9.40476065e-01
4.24405441e-01 3.93616561e-01 9.40434143e-01
4.24332005e-01 3.93561001e-01 9.40383327e-01
4.24251001e-01 3.93501147e-01 9.40324970e-01
4.24163754e-01 3.93436063e-01 9.40263042e-01
4.24073162e-01 3.93364406e-01 9.40205136e-01
4.23982358e-01 3.93284365e-01 9.40160023e-01
4.23891865e-01 3.93193660e-01 9.40132290e-01
4.23796992e-01 3.93089408e-01 9.40117620e-01
4.23687590e-01 3.92967712e-01 9.40102977e-01
4.23550395e-01 3.92822896e-01 9.40072227e-01
4.23371659e-01 3.92646541e-01 9.40012633e-01
4.23137433e-01 3.92426505e-01 9.39916937e-01
4.22831150e-01 3.92145973e-01 9.39780281e-01
4.22430341e-01 3.91782459e-01 9.39595583e-01
4.21904467e-01 3.91306719e-01 9.39351127e-01
4.21214409e-01 3.90681697e-01 9.39031270e-01
4.20313005e-01 3.89861740e-01 9.38618697e-01
4.19145580e-01 3.88792415e-01 9.38095739e-01
4.17649740e-01 3.87411234e-01 9.37442890e-01
4.15754792e-01 3.85649512e-01 9.36634812e-01
4.13382560e-01 3.83435407e-01 9.35637033e-01
4.10451613e-01 3.80698026e-01 9.34407364e-01
4.06885201e-01 3.77372400e-01 9.32902971e-01
4.02620710e-01 3.73405082e-01 9.31089427e-01
3.97617731e-01 3.68760048e-01 9.28946777e-01
3.91863404e-01 3.63424364e-01 9.26470822e-01
3.85375581e-01 3.57412890e-01 9.23671710e-01
3.78204723e-01 3.50771229e-01 9.20572786e-01
3.70434533e-01 3.43576325e-01 9.17210861e-01
3.62180570e-01 3.35934378e-01 9.13637003e-01
3.53585982e-01 3.27976149e-01 9.09916135e-01
3.44814059e-01 3.19850089e-01 9.06124030e-01
3.36038161e-01 3.11713987e-01 9.02341327e-01
3.27430402e-01 3.03725966e-01 8.98645818e-01
3.19150940e-01 2.96035548e-01 8.95105524e-01
3.11339402e-01 2.88775463e-01 8.91774915e-01
3.04109052e-01 2.82054826e-01 8.88694813e-01
2.97543445e-01 2.75954320e-01 8.85894397e-01
2.91695013e-01 2.70523897e-01 8.83392917e-01
2.86585304e-01 2.65783149e-01 8.81199902e-01
2.82206958e-01 2.61724026e-01 8.79314372e-01
2.78527450e-01 2.58315258e-01 8.77724490e-01
