x p rho u E
1.402805611222444904e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.422845691382765287e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.442885771543085949e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.462925851703406610e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.482965931863727271e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.503006012024047933e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.523046092184368594e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.543086172344689255e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.563126252505009917e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.583166332665330578e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.603206412825651239e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.623246492985971901e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.643286573146292562e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.663326653306613223e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.683366733466933607e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.703406813627254268e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.723446893787574929e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.743486973947895591e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.763527054108216252e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.783567134268536913e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.803607214428857575e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
1.823647294589178236e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000444e+00
